volt,current,capacity
3.83,485.40,41.81
3.83,485.50,41.96
3.83,485.50,42.12
3.83,485.60,42.28
3.83,485.40,42.43
3.83,485.30,42.59
3.83,485.70,42.74
3.83,485.40,42.90
3.83,485.30,43.06
3.83,485.00,43.21
3.83,485.50,43.37
3.83,485.00,43.53
3.83,485.40,43.68
3.83,485.30,43.84
3.83,485.30,43.99
3.83,485.30,44.15
3.83,485.00,44.31
3.83,485.20,44.46
3.83,485.40,44.62
3.83,485.20,44.78
3.83,485.40,44.93
3.83,485.20,45.09
3.83,484.90,45.24
3.83,484.90,45.40
3.83,485.20,45.56
3.83,484.90,45.71
3.83,485.00,45.87
3.83,485.30,46.02
3.83,485.30,46.18
3.83,485.00,46.34
3.83,485.20,46.49
3.83,485.00,46.65
3.83,485.00,46.81
3.83,484.90,46.96
3.83,484.80,47.12
3.83,484.80,47.27
3.83,484.90,47.43
3.83,485.10,47.59
3.83,484.90,47.74
3.83,484.90,47.90
3.83,484.80,48.05
3.83,485.00,48.21
3.83,484.70,48.37
3.83,484.70,48.52
3.83,484.90,48.68
3.83,484.50,48.83
3.83,484.90,48.99
3.83,484.60,49.15
3.83,484.50,49.30
3.83,484.70,49.46
3.83,484.80,49.61
3.83,484.70,49.77
3.83,484.70,49.93
3.83,484.50,50.08
3.83,484.70,50.24
3.83,484.80,50.39
3.83,484.80,50.55
3.83,484.70,50.71
3.83,484.60,50.86
3.83,484.90,51.02
3.83,484.60,51.17
3.83,484.60,51.33
3.83,484.50,51.49
3.83,484.50,51.64
3.83,484.50,51.80
3.83,484.80,51.95
3.83,484.40,52.11
3.83,484.80,52.27
3.83,484.70,52.42
3.83,484.60,52.58
3.83,484.50,52.73
3.83,484.60,52.89
3.83,484.70,53.05
3.83,484.50,53.20
3.83,484.80,53.36
3.83,484.60,53.51
3.83,484.70,53.67
3.83,484.60,53.83
3.83,484.30,53.98
3.83,484.50,54.14
3.82,484.60,54.29
3.83,484.60,54.45
3.82,484.70,54.61
3.83,484.60,54.76
3.83,484.50,54.92
3.83,485.00,55.08
3.82,484.70,55.23
3.83,484.70,55.39
3.83,484.30,55.54
3.82,484.60,55.70
3.83,484.60,55.86
3.83,484.90,56.01
3.82,484.80,56.17
3.83,484.70,56.32
3.83,484.70,56.48
3.83,484.60,56.64
3.83,484.70,56.79
3.83,484.80,56.95
3.83,484.60,57.10
3.82,484.50,57.26
3.82,484.80,57.42
3.83,484.60,57.57
3.83,484.60,57.73
3.82,484.60,57.88
3.83,484.50,58.04
3.82,484.60,58.20
3.82,484.30,58.35
3.82,484.30,58.51
3.83,484.80,58.66
3.83,484.20,58.82
3.82,484.60,58.98
3.82,484.60,59.13
3.82,484.70,59.29
3.82,484.20,59.44
3.82,484.50,59.60
3.82,484.10,59.76
3.83,484.60,59.91
3.82,484.50,60.07
3.83,484.60,60.22
3.82,484.50,60.38
3.83,484.50,60.53
3.83,484.60,60.69
3.83,484.10,60.85
3.82,484.40,61.00
3.82,484.40,61.16
3.82,484.30,61.31
3.82,484.50,61.47
3.82,484.40,61.63
3.83,484.10,61.78
3.83,484.30,61.94
3.83,484.30,62.09
3.82,484.00,62.25
3.82,484.20,62.41
3.82,484.00,62.56
3.83,484.10,62.72
3.83,484.20,62.87
3.82,484.20,63.03
3.82,484.40,63.18
3.82,484.40,63.34
3.82,484.40,63.50
3.82,484.20,63.65
3.82,484.50,63.81
