volt,current,capacity
3.76,473.80,180.71
3.76,473.80,180.86
3.76,473.80,181.01
3.76,473.90,181.17
3.76,473.90,181.32
3.76,473.80,181.47
3.76,473.70,181.63
3.76,473.70,181.78
3.77,473.80,181.93
3.76,473.50,182.08
3.77,473.70,182.24
3.76,473.40,182.39
3.76,473.80,182.54
3.76,473.70,182.69
3.77,473.70,182.85
3.76,473.60,183.00
3.76,473.40,183.15
3.76,473.30,183.30
3.76,473.40,183.46
3.76,473.20,183.61
3.76,473.40,183.76
3.76,473.40,183.91
3.76,473.40,184.07
3.76,473.30,184.22
3.76,473.40,184.37
3.76,473.40,184.53
3.76,473.50,184.68
3.76,473.10,184.83
3.76,473.10,184.98
3.76,473.20,185.14
3.76,473.00,185.29
3.76,473.30,185.44
3.76,473.10,185.59
3.76,473.10,185.75
3.76,473.20,185.90
3.76,473.20,186.05
3.76,473.10,186.20
3.76,473.20,186.36
3.76,472.80,186.51
3.76,472.50,186.66
3.76,472.90,186.81
3.76,472.50,186.96
3.76,472.60,187.12
3.76,472.30,187.27
3.76,472.60,187.42
3.76,472.60,187.57
3.76,473.00,187.73
3.76,472.80,187.88
3.76,472.50,188.03
3.76,472.50,188.18
3.76,472.20,188.34
3.76,472.40,188.49
3.76,472.50,188.64
3.76,472.50,188.79
3.76,472.50,188.94
3.76,472.40,189.10
3.76,472.40,189.25
3.76,472.60,189.40
3.76,472.40,189.55
3.76,472.20,189.71
3.76,472.10,189.86
3.76,472.30,190.01
3.76,472.20,190.16
3.76,472.30,190.31
3.76,472.20,190.47
3.76,472.10,190.62
3.76,472.00,190.77
3.76,471.90,190.92
3.76,472.00,191.08
3.76,471.80,191.23
3.76,472.00,191.38
3.76,472.10,191.53
3.76,471.80,191.68
3.76,472.00,191.84
3.76,472.00,191.99
3.76,471.90,192.14
3.76,471.80,192.29
3.76,471.90,192.44
3.76,471.80,192.60
3.76,471.70,192.75
3.76,471.60,192.90
3.76,471.90,193.05
3.75,471.60,193.20
3.75,471.70,193.36
3.76,471.60,193.51
3.75,471.50,193.66
3.75,471.40,193.81
3.75,471.20,193.96
3.75,471.40,194.12
3.75,471.50,194.27
3.75,471.40,194.42
3.75,471.20,194.57
3.75,471.40,194.72
3.75,471.30,194.87
3.75,471.20,195.03
3.75,471.40,195.18
3.75,471.30,195.33
3.75,471.00,195.48
3.75,471.20,195.63
3.75,471.20,195.79
3.75,470.90,195.94
3.75,471.40,196.09
3.75,470.70,196.24
3.75,470.80,196.39
3.75,470.80,196.54
3.75,470.60,196.70
3.75,471.00,196.85
3.75,470.80,197.00
3.75,470.80,197.15
3.75,470.90,197.30
3.75,470.70,197.45
3.75,470.30,197.61
3.75,470.10,197.76
3.75,470.60,197.91
3.75,470.30,198.06
3.75,470.20,198.21
3.75,470.60,198.36
3.75,469.80,198.52
3.75,470.30,198.67
3.75,470.10,198.82
3.75,470.10,198.97
3.75,469.90,199.12
3.74,470.20,199.27
3.75,469.90,199.42
3.74,470.20,199.58
3.75,470.20,199.73
3.75,470.10,199.88
3.74,470.40,200.03
3.74,469.90,200.18
3.74,470.20,200.33
3.75,470.00,200.49
3.74,469.30,200.64
3.74,469.90,200.79
3.74,469.80,200.94
3.74,469.80,201.09
3.74,469.50,201.24
3.74,469.70,201.39
3.74,469.70,201.55
3.74,469.60,201.70
3.74,469.50,201.85
3.74,469.10,202.00
3.74,469.60,202.15
3.74,469.70,202.30
3.74,469.90,202.45
3.74,469.80,202.61
3.74,469.50,202.76
3.74,469.50,202.91
3.74,469.70,203.06
3.74,469.40,203.21
3.74,469.50,203.36
3.74,469.00,203.51
3.74,469.60,203.67
3.74,469.50,203.82
3.74,469.20,203.97
3.74,469.50,204.12
3.74,469.70,204.27
3.74,469.10,204.42
3.74,469.50,204.57
3.74,469.50,204.72
3.74,469.10,204.88
3.74,469.50,205.03
3.74,469.20,205.18
3.74,469.30,205.33
3.74,468.90,205.48
3.74,469.20,205.63
3.74,469.00,205.78
3.74,469.00,205.94
3.74,469.00,206.09
3.74,468.90,206.24
3.74,469.00,206.39
3.74,469.10,206.54
3.74,468.90,206.69
3.74,469.00,206.84
3.74,468.90,206.99
3.74,468.80,207.15
3.74,468.70,207.30
3.74,468.70,207.45
3.74,468.80,207.60
3.74,468.80,207.75
3.73,468.70,207.90
3.73,468.80,208.05
3.73,468.70,208.20
3.73,468.30,208.35
3.74,468.40,208.51
3.73,468.40,208.66
3.74,468.40,208.81
3.73,468.60,208.96
3.73,468.30,209.11
3.73,468.20,209.26
3.73,467.90,209.41
3.73,468.20,209.56
3.73,468.30,209.71
3.73,467.90,209.87
3.73,468.20,210.02
3.73,468.10,210.17
3.73,468.10,210.32
3.73,468.00,210.47
3.73,468.10,210.62
3.73,468.10,210.77
3.73,468.10,210.92
3.73,468.00,211.07
3.73,467.90,211.22
3.73,468.20,211.37
3.73,467.80,211.52
3.73,467.90,211.68
3.73,468.00,211.83
3.73,467.90,211.98
3.73,468.00,212.13
3.73,467.80,212.28
3.73,467.90,212.43
3.73,467.60,212.58
3.73,467.80,212.73
3.73,467.70,212.88
3.73,467.90,213.03
3.73,467.70,213.18
3.73,467.70,213.33
3.73,467.40,213.48
3.73,467.40,213.64
3.73,467.50,213.79
3.73,467.40,213.94
3.72,467.30,214.09
3.73,467.70,214.24
3.73,467.00,214.39
3.73,467.20,214.54
3.73,467.20,214.69
3.73,467.10,214.84
3.73,467.20,214.99
3.73,467.20,215.14
3.73,466.80,215.29
3.73,467.10,215.44
3.73,467.00,215.59
3.73,467.10,215.74
3.73,466.70,215.89
3.73,466.90,216.04
3.73,466.90,216.19
3.73,466.90,216.35
3.73,466.60,216.50
3.73,466.70,216.65
3.73,466.70,216.80
3.73,466.80,216.95
3.73,466.90,217.10
3.72,466.50,217.25
3.73,466.40,217.40
3.72,466.60,217.55
3.73,466.70,217.70
3.73,467.00,217.85
3.73,466.50,218.00
3.73,466.60,218.15
3.72,466.50,218.30
3.72,466.50,218.45
3.72,466.40,218.60
3.72,466.20,218.75
3.73,466.20,218.90
3.72,466.30,219.05
3.72,465.90,219.20
3.72,465.80,219.35
3.72,466.20,219.50
3.72,465.90,219.65
3.72,466.20,219.80
3.72,466.00,219.95
3.72,466.00,220.10
3.72,466.00,220.25
3.72,465.80,220.40
3.72,465.40,220.55
3.72,465.80,220.70
3.72,465.70,220.85
3.72,466.00,221.00
3.72,465.60,221.15
3.72,465.80,221.30
3.72,465.50,221.45
3.72,465.50,221.60
3.72,465.50,221.76
3.72,465.50,221.91
3.72,465.60,222.05
3.72,465.40,222.20
3.72,465.00,222.35
3.72,465.30,222.50
3.72,465.30,222.65
3.72,465.40,222.80
3.72,465.30,222.95
3.72,464.70,223.10
3.72,465.10,223.25
3.71,465.00,223.40
3.72,464.80,223.55
3.71,465.10,223.70
3.71,464.70,223.85
3.71,465.00,224.00
3.71,464.80,224.15
3.71,465.00,224.30
3.71,465.00,224.45
3.71,464.80,224.60
3.71,465.00,224.75
3.71,464.80,224.90
3.71,465.00,225.05
3.71,464.90,225.20
3.71,464.80,225.35
3.71,464.50,225.50
3.71,464.60,225.65
3.71,464.60,225.80
3.71,464.80,225.95
3.71,464.50,226.10
3.71,464.70,260
3.65,450.30,277.70
3.64,450.80,277.84
3.64,450.40,277.99
